T,Objective_Value,num_vehicales,Solve_Time,MIP_Gap,Iterations,n,Number_End_Locations
60,746638.4075,539,536.4292867,0.004055283,5,29,84
300,746820.2501,539,2011.740241,0.003747735,4,29,80
900,746778.2866,539,5851.40821,0.003712654,4,29,81
1800,746820.1728,539,7766.678288,0.003415864,4,29,80
3600,746820.1728,539,17746.91289,0.003581024,4,29,80
60,746236.7755,539,569.0049593,0.00360684,3,43,84
300,745693.826,539,4473.245535,0.003614162,6,43,113
900,745700.911,539,7399.664408,0.003222812,4,43,90
1800,745976.8036,539,7606.120373,0.002380953,3,43,84
3600,745976.8036,539,13113.3993,0.002701647,3,43,84
60,746041.8611,539,868.8774183,0.003903334,4,57,102
300,745777.931,539,3985.728591,0.003227909,3,57,101
900,745729.4357,539,5682.199297,0.003259801,4,57,107
1800,745729.4357,539,9077.337696,0.002900557,4,57,107
3600,745946.9393,539,19841.99514,0.002894528,3,57,100
60,746554.5285,539,1452.549878,0.016055411,5,142,193
300,746148.3727,539,7786.4965,0.004713046,3,142,180
900,745684.5093,539,15804.85541,0.004360163,4,142,187
1800,745465.1536,539,23569.48163,0.003891233,4,142,191
3600,745597.9043,539,35308.44729,0.0039745,4,142,186
